7 21 19:30:52 <item4>	안녕하세요.
7 21 21:35:02 <item4>	아직 저도 내용은 안훑어봤는데 그쪽 참고하시면 도움이 많이 될 것 같네요
7 21 21:35:10 <jason_>	감솨
7 21 21:35:42 <item4>	자, 이번에 100문 100답을 하는데 과연
7 21 21:35:53 <item4>	제목과 내용을 어떻게 분리할 것인가
7 21 21:36:00 <item4>	일단 생각나는것으론
7 21 21:36:14 <item4>	dl로 한다음 1. ~~~~  이런식으로 쪼개는 방법도 있을 것 같은데
7 21 21:36:26 <item4>	숫자를 다 붙이자니 내키지 않는분도 있을 것 같습니다.
7 21 21:36:37 <item4>	정의라는 용도에도 부합하지 않는 것 같습니다
7 21 21:37:02 <item4>	근데 그렇다고 <h1>1. 이름은?</h1> 이런건 너무 끔찍합니다
7 21 21:37:17 <item4>	헤드라인이 100개나 되는 문서는 솔직히 심했죠
7 21 21:37:35 <item4>	일단 이번엔 ol을 쓰겠습니다
7 21 21:37:46 <item4>	근데, 그래선 제목과 본문이 구분이 안되니까
7 21 21:37:50 <item4>	이렇게 해보겠습니다
7 21 21:38:17 <item4>	<b>이름은?</b><br />홍길동
7 21 21:38:22 <item4>	처음 보는 녀석이 나왔습니다
7 21 21:38:43 <item4>	이것은 줄을 나눠주는 역할을 합니다
7 21 21:38:50 <item4>	강제 개행이라고 할 수 있겠습니다
7 21 21:38:58 <item4>	원래 문장은 끝까지 간다음 내려와야하지만
7 21 21:39:06 <item4>	이것을 이용하면 강제로 줄바꿈을 시킬 수 있습니다
7 21 21:39:38 <item4>	이것을 이용하면 이번 과제는 수행이 가능할 것 같습니다
7 21 21:39:49 <item4>	다른 질문 있으신지요
7 21 21:40:23 <jason_>	아뇨
7 21 21:40:27 <jason_>	없습니다. 수고하셨습니다.
7 21 21:40:31 <jason_>	강의 너무 재미있네요.
7 21 21:40:51 <item4>	100문 100답을 해보는것은
7 21 21:41:01 <item4>	여기엔 뭘 써볼까 고민하면서
7 21 21:41:19 <item4>	직접 태그들을 실습해보는데에 그 목적이 있습니다
7 21 21:41:34 <jason_>	네
7 21 21:41:37 <item4>	100문 100답은 인터넷에서 구할 수 있는것 아무거나 사용하셔도 되고, 직접 만드셔도 됩니다
7 21 21:42:31 <claire>	음..넵 저 100문 100답에서 방금 알려주신 <br />과 함께 ol을 사용해야 하는 거 맞나요? 1,2,3,4~~ 숫자를 붙여야 하는 건지 궁금합니다.
7 21 21:42:45 <item4>	ol에는 자동으로 숫자가 붙어나오니까
7 21 21:42:56 <item4>	*.*.*.* 이런 숫자는 따로 안붙이셔도 될 것 같습니다
7 21 21:42:58 <dcdc>	아까 <b>는 사용하지 말아야 한다고 하지 않으셨나요? 
7 21 21:43:06 <claire>	넵
7 21 21:43:12 <item4>	b는 HTML5 이전에는 사용하면 안된다고 한것입니다
7 21 21:43:12 <dcdc>	<strong>으로 써도 될까요?
7 21 21:43:21 <item4>	쓰면 안되는건 알려드리지 않았겠죠.. ^^;;
7 21 21:43:26 <dcdc>	아네...
7 21 21:43:28 <item4>	strong으로 하지 않은 이유는
7 21 21:43:37 <item4>	strong은 강조의 의미가 들어가버립니다
7 21 21:43:52 <item4>	100개의 제목마다 강조가 들어가야하는건지 저는 특별히 느끼지 못하겠기에
7 21 21:43:53 <dcdc>	네?? html5 이전에 사용하면 안된다고요? 오히려 반대 아닌가요? 이전버전에서는 사용해도 되는거 아닌가요?
7 21 21:44:07 <dcdc>	아 그냥 진하게 한다는 의미인것이군요?
7 21 21:44:14 <item4>	b의 경우
7 21 21:44:19 <item4>	html5 이전에는
7 21 21:44:25 <item4>	정확히는 html4에선 비권장
7 21 21:44:33 <item4>	xhtml에서는 삭제되었습니다
7 21 21:44:50 <item4>	그러다가 html5에서 의미를 넣어서 부활을 시킨건데요
7 21 21:45:09 <item4>	문장에서 특별히 여기를 봐달라는 의미를 주고 싶을때
7 21 21:45:15 <item4>	b를 씁니다
7 21 21:45:25 <dcdc>	네
7 21 21:46:02 <item4>	오늘 배운 인라인 태그들은 별도로 정리해서 스터디 로그 올릴때 같이 올려드릴거고
7 21 21:46:07 <item4>	빠진게 아직도 좀 있습니다
7 21 21:46:19 <item4>	이것들은 보면서 필요할때 하나하나 챙겨가도록 하겠습니다
7 21 21:47:12 <grimb>	네
7 21 21:47:14 <claire>	넵
7 21 21:47:42 <dcdc>	수고하셨습니다. :) 
7 21 21:47:53 <claire>	수고하셨습니다! 
7 21 21:48:16 <grimb>	수고하셨습니다.
7 21 21:48:25 <item4>	네. 그럼 오늘 스터디는 여기까지 하겠습니다. 수고하셨습니다. :)
