7 17 19:40:41 <item4>	안녕하세요. 아직 많은분들이 안오셨네요
7 17 21:09:43 <item4>	그럼, 만원어치는 빼야겠군요
7 17 21:10:03 <item4>	자, 그럼 이제 천천히 생각해봅시다
7 17 21:10:11 <item4>	5000원짜리 장수는 (input-money10000*10000)/5000
7 17 21:10:15 <item4>	이렇게 하면 나올겁니다
7 17 21:10:21 <item4>	그럼 1000원짜리는요?
7 17 21:10:30 <item4>	100원 50원 10원
7 17 21:10:37 <item4>	가면 갈수록 식이 길어집니다
7 17 21:11:15 <item4>	조금 다른 방향으로 접근해보겠습니다
7 17 21:11:23 <lyn>	계산한부분을 변수로 만들어서 뺀만큼을 추가해주면...
7 17 21:11:33 <item4>	(input-money10000*10000) 는
7 17 21:11:45 <grimb>	(input-money5000*1000)/1000
7 17 21:12:06 <item4>	음...
7 17 21:12:19 <item4>	1000원자리 장수 식을 보고싶으신것 같으니 적어드리자면
7 17 21:12:34 <item4>	(input-money10000*10000-money5000*5000)/1000
7 17 21:12:37 <item4>	이렇게 됩니다
7 17 21:12:49 <item4>	500원으로 가면 더 길어지겠죠
7 17 21:13:22 <item4>	만약 제가 1000만원짜리 수표도 고려하라고 했다간
7 17 21:13:27 <grimb>	네
7 17 21:13:28 <item4>	변수 길이에 치여 죽게 생겼습니다
7 17 21:13:45 <item4>	이 방법은 정확하지만 무언가 너무 노가다성이 심합니다
7 17 21:14:17 <item4>	그래서, 이번엔 접근을 달리 해보겠습니다
7 17 21:14:23 <item4>	(input-money10000*10000) 은
7 17 21:14:32 <item4>	input에서 만원짜리를 주고 남은 돈입니다
7 17 21:14:43 <item4>	만원짜리 준 장수는 / 로 구했는데
7 17 21:14:51 <item4>	나머지는 %로 구할 수 있습니다
7 17 21:15:00 <item4>	그럼, 이렇게 해보면 어떨까요
7 17 21:15:07 <item4>	input%10000
7 17 21:15:24 <lyn>	아하
7 17 21:15:42 <item4>	이러면 10000원짜리로 주고 남은 돈이 나옵니다
7 17 21:16:12 <item4>	그럼 money5000은 이렇게 구할 수 있겠죠
7 17 21:16:35 <item4>	money5000=(input%10000)/5000;
7 17 21:17:25 <item4>	1000원짜리까지만 같이 해보겠습니다
7 17 21:17:46 <item4>	money1000은 그럼 식이 어떻게 될까요?
7 17 21:18:40 <lyn>	money1000=(input%5000)/1000;
7 17 21:19:15 <item4>	input을 만원으로 주고 난 나머지에서 5000원을 주고 난 나머지니까
7 17 21:19:22 <item4>	input%10000%5000 아닐까요?
7 17 21:19:36 <lyn>	ㅇ
7 17 21:19:55 <item4>	자, 근데 정답은 lyn님의 답변입니다
7 17 21:20:01 <item4>	이건 수학적인 문제가 되겠는데요
7 17 21:20:14 <item4>	숫자를 좀 줄여서 생각해보죠
7 17 21:20:22 <item4>	12%10%5
7 17 21:20:25 <item4>	라고 생각해봅시다
7 17 21:20:43 <item4>	12를 10으로 나눈 나머지는 2입니다
7 17 21:20:50 <item4>	그걸 또 5로 나눈 나머지도 5입니다
7 17 21:21:11 <item4>	그럼
7 17 21:21:16 <item4>	12%5는 어떨까요
7 17 21:21:23 <lyn>	2요
7 17 21:21:25 <item4>	12는 5*2 + 2므로
7 17 21:21:27 <item4>	2가 나옵니다
7 17 21:21:33 <item4>	이 둘의 결과가 같은 이유는 
7 17 21:21:39 <item4>	10이 5의 배수이기 때문입니다
7 17 21:22:02 <item4>	배수 관계에선 나눠도 똑같이 됩니다
7 17 21:22:13 <item4>	자세한 수학적 증명은 제가 수학자가 아니므로 해드릴 수 없지만..
7 17 21:22:22 <item4>	input%10000%5000 이 아니라
7 17 21:22:25 <item4>	input%5000
7 17 21:22:27 <item4>	만 해도
7 17 21:22:33 <item4>	충분한 값을 구할 수 있습니다
7 17 21:23:10 <item4>	자, 그럼 이제 직접 풀어보겠습니다
7 17 21:23:28 <item4>	money10000 5000 1000 500 100 50 10 5 1
7 17 21:23:33 <item4>	변수를 만드시고
7 17 21:23:38 <item4>	input으로 입력을 받고
7 17 21:23:46 <item4>	출력은 좀 정신없을거같으니
7 17 21:23:50 <item4>	저장까지만 해봅시다
7 17 21:24:00 <item4>	9시 30분까지면 될까요
7 17 21:24:34 <item4>	한번 풀 수 있는데까지 풀어보겠습니다
7 17 21:30:43 <item4>	풀 수 있으신가요? 얼마나 푸셨나요? 시간 좀 더 드려야할까요
7 17 21:30:49 <lyn>	시간 좀 더 주세요
7 17 21:30:59 <item4>	네. 33분까지 풀어보겠습니다
7 17 21:33:40 <item4>	33분입니다. 이제 진행해도 될까요?
7 17 21:34:17 <item4>	다들 열심히 풀고계신건지.. 아니면 다 풀고 쉬고계신건지 답변을 주세요 ^^;;
7 17 21:34:48 <lyn>	풀고있어요
7 17 21:35:07 <item4>	36분에 일단 답 오픈합니다
7 17 21:35:47 <grimb>	머리 아파요..ㅎㅎ
7 17 21:36:42 <item4>	http://codepad.org/B3RQNp5K
7 17 21:36:48 <lyn>	다했습니다
7 17 21:36:50 <item4>	일단 이런식의 결과가 나오고 있다면 맞게 푸신겁니다
7 17 21:37:17 <item4>	두줄 오타있네요 다시 올리겠습니다
7 17 21:37:30 <lyn>	printf("만원 %d장, 오천원 %d장, 천원 %d장, 오백원 %d개, 백원 %d개, 50원 %d개, 10원 %d개, 5원 %d개, 1원 %d개",m10000,m5000,m1000,m500,m100,m50,m10,m5,m1);
7 17 21:37:34 <lyn>	빼곤 비슷하네요
7 17 21:37:36 <item4>	http://codepad.org/pJF5tPig
7 17 21:37:46 <item4>	자, 저는 일부로 출력을 뺐습니다
7 17 21:38:06 <item4>	일단 lyn님 출력결과를 상상해보겠습니다
7 17 21:38:16 <item4>	17650원이라고 치면
7 17 21:38:47 <item4>	만원 1장, 오천원 1장, 천원 2장, 오백원 1개, 백원 1개, 50원 1개, 10원 0개, 5원 0개, 1원 0개
7 17 21:38:55 <item4>	... 한줄로 보기엔 너무 깁니다
7 17 21:39:15 <item4>	그런데 우린 아직 여러줄로 출력하는법을 모릅니다
7 17 21:39:28 <item4>	혹시 printf를 2번 쓰면 두줄로 나오지 않을까요?
7 17 21:39:34 <item4>	한번 직접 해보겠습니다
7 17 21:39:50 <item4>	!c printf("첫째줄");printf("둘째줄");
7 17 21:39:53 <냐옹이>	첫째줄둘째줄
7 17 21:39:54 <dcdc>	쳐도 그냥 아무결과가 안나오는데요?
7 17 21:40:00 <item4>	dcdc, 네, 안나옵니다
7 17 21:40:05 <item4>	lyn님이 출력문을 만드셨길래
7 17 21:40:09 <item4>	예를 들어 보고있습니다
7 17 21:40:18 <item4>	위에 보다시피
7 17 21:40:21 <item4>	printf를 두번한다고 해서
7 17 21:40:25 <item4>	두줄이 나오진 않습니다
7 17 21:40:33 <item4>	그럼, 2줄을 표현하고 싶으면 어떻게 해야할까요?
7 17 21:40:49 <lyn>	<br /> 은 아닐테고ㅎㅎ
7 17 21:41:02 <item4>	간단합니다. 컴퓨터보고 엔터를 치라고 시키면 됩니다
7 17 21:41:21 <item4>	!c printf("첫째줄\n");printf("둘째줄");
7 17 21:41:24 <냐옹이>	첫째줄
7 17 21:41:24 <냐옹이>	둘째줄
7 17 21:41:29 <item4>	!c printf("첫째줄\n둘째줄");
7 17 21:41:31 <냐옹이>	첫째줄
7 17 21:41:32 <냐옹이>	둘째줄
7 17 21:41:36 <item4>	감이 오시나요
7 17 21:41:46 <item4>	\n이란 글자를 기준으로
7 17 21:41:49 <item4>	한줄 끊어지고 있습니다
7 17 21:42:13 <item4>	이걸 이용하면 출력을 좀 간결하게 해볼 수 있지 않을까요?
7 17 21:42:25 <item4>	만원 : 1장
7 17 21:42:25 <ellif_w7>	그리고
7 17 21:42:30 <item4>	오천원 : 1장
7 17 21:42:31 <item4>	이런식으로
7 17 21:42:40 <item4>	한줄씩 띄워져서 나오게 출력문을 구성해봅시다
7 17 21:42:47 <item4>	printf 함수는 여러개 사용해도 됩니다
7 17 21:43:02 <item4>	여러개 쓰는편이 좀 더 줄 수는 길겠지만 읽기는 편할겁니다
7 17 21:43:19 <item4>	47분까지 해보겠습니다
7 17 21:47:10 <lyn>	잘 나옵니다
7 17 21:47:59 <ellif_w7>	으음 좀 힘드네요
7 17 21:48:13 <item4>	http://codepad.org/QiDdHUDi
7 17 21:48:20 <item4>	이런식의 소스가 나오셨다면 정답입니다
7 17 21:49:10 <item4>	어떻게, 정답에는 다들 근접하셨나요
7 17 21:49:34 <lyn>	아하
7 17 21:49:39 <dcdc>	우와... 짱인데요?
7 17 21:49:48 <lyn>	전 한줄로 했는데
7 17 21:49:49 <lyn>	printf("1만원 : %d장\n5천원 : %d장\n1천원 : %d장\n5백원 %d개\n1백원 %d개\n5십원 %d개\n1십원 %d개\n5원 %d개\n1원 %d개",m10000,m5000,m1000,m500,m100,m50,m10,m5,m1);
7 17 21:49:54 <dcdc>	저는 사실 감 자체가 없어서 손놓고 있었지만... 신기하네요. :)
7 17 21:49:56 <item4>	1줄로 해도 됩니다
7 17 21:50:02 <lyn>	아..음
7 17 21:50:07 <lyn>	어느게 더 좋을까요? 비슷비슷?
7 17 21:50:07 <ellif_w7>		printf("입력하신 금액은 5만원짜리 %d장, \n1만원짜리 %d장, \n5천원짜리 %d장, \n천원짜리 %d장, \n오백원짜리 %d개, \n백원짜리 %d개, \n오십원짜리 %d개,\n십원짜리 %d개\n로 변환할 수 있습니다.",m50000,m10000,m5000,m1000,m500,m100,m50,m10);
7 17 21:50:14 <ellif_w7>	이렇게 해도 큰 문제는 없죠?
7 17 21:50:20 <item4>	다만 제가 1000만원권 수표부터 1원까지.. 라고 했다면
7 17 21:50:25 <item4>	더 길어졌겠고
7 17 21:50:29 <item4>	읽기가 좀 불편하겠죠
7 17 21:50:38 <item4>	printf를 한번 쓴다는 측면에서는 한줄이 좋지만
7 17 21:50:48 <item4>	읽고 이해하는게 목적이므로 저는 여러줄로 썼습니다
7 17 21:50:49 <lyn>	그렇죠. 지금도 툭하면 한글이 깨져보이는데..
7 17 21:50:56 <item4>	한줄로 쓰셨다고 오답은 아닙니다
7 17 21:51:18 <item4>	자, 문제를 푸신분은 자기 소스로, 못푸신분은 제 소스를 가지고
7 17 21:51:22 <item4>	컴파일 후 실행해주세요
7 17 21:51:35 <ellif_w7>	으음 이상하네요
7 17 21:51:40 <item4>	그리고 98765원은 어떻게 나눠지는지 보겠습니다
7 17 21:52:38 <lyn>	9 1 3 1 2 1 1 1 0이요
7 17 21:53:01 <item4>	다른분들도 저렇게 나오셨나요
7 17 21:53:46 <grimb>	네
7 17 21:53:54 <ellif_w7>	맞네요
7 17 21:54:24 <item4>	오늘의 포인트는 3가지입니다
7 17 21:54:29 <item4>	scanf로 입력을 받을 수 있다
7 17 21:54:49 <item4>	%로 나누기한 나머지를 구할 수 있다
7 17 21:54:55 <item4>	\n으로 줄을 띄울 수 있다
7 17 21:55:31 <item4>	오늘 수업은 여기까지 하고요
7 17 21:55:35 <item4>	숙제가 있습니다
7 17 21:55:51 <item4>	하루는 24시간
7 17 21:55:54 <item4>	1시간은 60분
7 17 21:56:01 <item4>	1분은 60초입니다
7 17 21:56:11 <item4>	제가 123456초라고 입력하면
7 17 21:56:28 <item4>	a일 b시간 c분 d초
7 17 21:56:36 <item4>	라고 출력되는 프로그램을 만들어오세요
7 17 21:56:42 <lyn>	ㅎㅎㅎ 네
7 17 21:56:52 <ellif_w7>	으음 제 코드로는 실행이 제대로 안되네요
7 17 21:56:55 <ellif_w7>	뭐가 문제지
7 17 21:57:06 <item4>	그리고 설문조사가 있습니다
7 17 21:57:25 <item4>	오늘 스터디가 2시간 30분에 걸쳐서 진행되었는데요
7 17 21:57:28 <item4>	너무 긴가요?
7 17 21:57:33 <lyn>	더 해도 됩니다
7 17 21:57:50 <item4>	다른 분들 의견도 들려주세요
7 17 21:58:18 <grimb>	적당합니다!!
7 17 21:58:20 <dcdc>	수업이 좀 길긴 하지만... 이런 방법으로 진행하니 괜찮긴 하네요.
7 17 21:58:54 <dcdc>	근데... 모를 경우에는 좀 지루해지는것 같습니다. 오늘은 더 몰라서... 그냥 손놓고 결과 코드가 나오기만을 기다렸네요.
7 17 21:59:54 <item4>	ellif_w7, Jstring, mathieu, wk 스터디 시간 길이에 대한 의견 없으신가요
7 17 22:00:08 <ellif_w7>	item4, 큰 문제는 없어요
7 17 22:01:28 <item4>	다른분들 의견도 듣고싶은데 지금 부재중이신거같네요
7 17 22:01:53 <item4>	제가 이번에 스터디에 대한 설문조사를 해보니
7 17 22:02:12 <item4>	수업이 느리다.. 라고 하는분들이 꽤 계셨어요
7 17 22:02:23 <item4>	하지만 저는 지금 정도 속도가 적정선이라고 봅니다
7 17 22:02:48 <item4>	프로그래밍을 조금 하셨던분들은 빨리빨리 진도를 나가기를 원하시겠지만
7 17 22:02:55 <item4>	저는 앞으로 계속 
7 17 22:03:03 <item4>	문제풀이를 많이 해보는식으로
7 17 22:03:10 <item4>	소스 짜는데에 익숙해질 시간을 가질거에요
7 17 22:03:49 <item4>	수업 속도에 대해서는 지금 당장 더 빨리 할 수는 없다는 방침을 일단 알려드리구요
7 17 22:04:03 <item4>	수업 난이도에 대해서는
7 17 22:04:12 <item4>	일단 이거보다 더 쉬워지면 공부가 안됩니다
7 17 22:04:21 <item4>	C라는것 자체의 난이도선이 이정도가 적정하다고 보는데
7 17 22:04:28 <item4>	문제는 이해하기 힘든 부분이 분명히 생겨요
7 17 22:04:34 <item4>	가령 오늘 나왔던 변수 주소라던가
7 17 22:04:45 <item4>	이런 부분에 대해서는 제가 대안을 2개 제시합니다
7 17 22:04:48 <item4>	먼저 복습입니다
7 17 22:04:57 <item4>	복습을 하다보면 조금 더 보이는 부분이 있을거에요
7 17 22:05:14 <item4>	그렇게 해서 깨달으시면 그것만으로도 큰 수확이구요
7 17 22:05:19 <item4>	만약 그래도 안된다! 그러시면
7 17 22:05:22 <item4>	언제라도 이 채널로 오세요
7 17 22:05:32 <item4>	밤, 새벽만 아니면 저는 거의 언제나 이 채널에 있습니다
7 17 22:06:07 <item4>	궁금한게 생기면 채널로 와주세요
7 17 22:06:16 <wk>	넵
7 17 22:06:25 <item4>	그리고 웹페이지반에서는 이미 공고가 나갔는데
7 17 22:06:40 <item4>	다음 스터디부터는 한명도 없더라도 30분에 바로 시작합니다
7 17 22:07:06 <item4>	대신 30분에 바로 시작하는 대신
7 17 22:07:17 <item4>	중간에 10분에서 15분정도 휴식시간을 갖도록 하겠습니다
7 17 22:07:22 <item4>	괜찮나요?
7 17 22:07:37 <ellif_w7>	뭐 반대하시는 분이 계셔야
7 17 22:07:38 <lyn>	없어도 괜찮습니다
7 17 22:07:53 <ellif_w7>	앗뎀씨가 쉬셔야 하는 부분도 있으니 저는 찬성입니다.
7 17 22:07:56 <lyn>	필요하시면 괜찮습니다
7 17 22:08:09 <item4>	장시간 공부에 익숙하신분도 계신가 하면
7 17 22:08:11 <wk>	저도 상관없습니다.
7 17 22:08:18 <item4>	잠깐식 환기가 필요하신분도 계실테니
7 17 22:08:24 <wk>	온라인이라 잠깐씩 담배필 짬은 나네요 ㅋ
7 17 22:08:25 <item4>	휴식시간은 갖도록 하겠습니다
7 17 22:08:37 <grimb>	네
7 17 22:08:40 <item4>	오늘 스터디 내용에 대해 질문 없나요
7 17 22:09:03 <ellif_w7>	질문. int 상수를 소문자 한 글자로 해서는 안되나요.
7 17 22:09:12 <item4>	int i
7 17 22:09:20 <ellif_w7>	아무래도 int m; 식으로 해서 안되는것 같은 느낌인데...()
7 17 22:09:22 <item4>	이런식으로 하면 안되냐는거죠?
7 17 22:09:25 <ellif_w7>	네
7 17 22:09:26 <item4>	상관 없습니다. 됩니다
7 17 22:09:30 <ellif_w7>	그럼 이상하네
7 17 22:09:34 <item4>	단, int 1; 이런건 안됩니다
7 17 22:09:46 <item4>	변수명은 _나 영어로 시작해야합니다
7 17 22:10:17 <lyn>	%의 우선순위는 +-나 */랑 비교해서 윈가요 아랜가요?
7 17 22:10:36 <item4>	저도 외우고 있는 사항은 아닌데, 직접 실험을 해보겠습니다
7 17 22:10:48 <item4>	!c printf("%d",10%3*2);
7 17 22:10:51 <냐옹이>	2
7 17 22:11:05 <lyn>	%가 최상이군요
7 17 22:11:09 <item4>	아무래도 같은 순위인것 같군요
7 17 22:11:13 <item4>	!c printf("%d",10*3%2);
7 17 22:11:13 <lyn>	아 순서
7 17 22:11:17 <냐옹이>	0
7 17 22:11:26 <item4>	네. 같은 순위상에 있습니다
7 17 22:11:36 <lyn>	아하
7 17 22:11:40 <item4>	같은 순위상이면 왼쪽에서 오른쪽으로 실행됩니다
7 17 22:11:51 <lyn>	그럼 또.... 아까 메시지 보냈는데 갔었죠?
7 17 22:11:57 <item4>	네
7 17 22:12:00 <lyn>	그리고 이어서 더 보냈는데 그건 안갔죠?
7 17 22:12:07 <item4>	%를 /보다 힘들어하느냐 보내주신건 받았습니다
7 17 22:12:11 <item4>	그 이후는 못받았네요
7 17 22:12:30 <item4>	제가 /를 컴퓨터가 힘들어한다고 한것은
7 17 22:12:36 <item4>	컴퓨터는 나누기를 할 줄 모르기때문입니다
7 17 22:12:42 <item4>	그래서 단순 무식하게
7 17 22:12:51 <item4>	숫자를 조금씩 낮춰가며 빼봅니다
7 17 22:13:02 <item4>	답이 나올때까지요
7 17 22:13:08 <lyn>	허허;
7 17 22:13:21 <item4>	그에 비하면 %는 간단합니다
7 17 22:13:29 <item4>	숫자를 낮춰볼 필요 없이 쭉 빼면 되니까요
7 17 22:13:44 <item4>	따라서 %는 /보다는 가볍습니다
7 17 22:14:00 <lyn>	다 빼고 더이상 못빼는 게 %로 나오는거 아닌가요?
7 17 22:14:13 <item4>	10%3이라고 친다면
7 17 22:14:16 <item4>	10에서 3을 빼고
7 17 22:14:21 <item4>	그럼 7이남고
7 17 22:14:25 <item4>	7에서 3빼서 4남고
7 17 22:14:31 <item4>	4에서 3빼서 1남았는데
7 17 22:14:35 <item4>	1은 3보다 작으니 멈춥니다
7 17 22:14:38 <item4>	이런식으로 처리됩니다
7 17 22:14:49 <lyn>	거기서 1이 %로 나오는게 아닌가요?
7 17 22:14:56 <item4>	네. 1이 결과물입니다
7 17 22:15:16 <lyn>	그럼 나누기는 뺀 횟수, %는 빼고남은 결과물...인데
7 17 22:15:16 <item4>	나눗셈의 무한정 빼보기보다는
7 17 22:15:25 <item4>	훨씬 가볍죠
7 17 22:15:51 <lyn>	이해가 안가요; 다 빼봐야 나머지를 알 수 있을 것 같은데;
7 17 22:16:03 <item4>	네. 계속 뺍니다
7 17 22:16:06 <item4>	곱하기의 경우도 그냥
7 17 22:16:09 <item4>	계속 더합니다
7 17 22:16:33 <item4>	컴퓨터는 더하기랑 빼기 (원칙적으로는 빼기도 할 줄 모르지만..)만 가능합니다
7 17 22:16:37 <lyn>	뺀 횟수를 카운트하지 않아도 되니까 더 간단한 거라고도 볼 수 있는거군요
7 17 22:16:40 <lyn>	헐
7 17 22:16:51 <item4>	빼기가 안된다는 부분은
7 17 22:16:53 <item4>	뒤~ 에가서
7 17 22:16:59 <item4>	자료구조에 들어가면 다룰겁니다
7 17 22:17:29 <item4>	더 상세한 부분은 힘들어지므로 여기까지만 하겠습니다
7 17 22:17:33 <item4>	다른 질문 있으신가요
7 17 22:17:55 <lyn>	아
7 17 22:18:00 <lyn>	아까 보낸 메시지
7 17 22:18:03 <lyn>	앞의 거가 안갔나보네요;
7 17 22:18:09 <lyn>	보내지면 표기가 안되는거구나;
7 17 22:18:18 <lyn>	그 전에 보낸건
7 17 22:18:31 <lyn>	변수 이름이 길면 용량도 많이 차지하고 처리하는 시간도 짧은거에 비해서 많이 걸리게될까요?
7 17 22:18:40 <item4>	아, 그것도 좋은 질문이네요
7 17 22:19:07 <item4>	홍길동이라는 사람과 가나다라마바사아자차카타파하 라는 사람이 있을때
7 17 22:19:12 <item4>	달리기 속도는 누가 빠를까요
7 17 22:19:32 <item4>	... 당연히 빠른 사람이 빠르겠죠
7 17 22:19:42 <item4>	이름은 영향을 주지 않습니다
7 17 22:19:45 <lyn>	오호....
7 17 22:19:49 <item4>	변수에 저장된 자료가 저장되는 공간과
7 17 22:19:49 <lyn>	이름은 그냥 이름일 뿐이군요
7 17 22:19:56 <item4>	변수명이 저장되는 공간은 다릅니다
7 17 22:20:04 <item4>	변수명이 길면 보기 힘들고
7 17 22:20:11 <item4>	변수명 길이도 분명히 한계가 있습니다
7 17 22:20:27 <item4>	하지만 속도에 영향은 안주니까
7 17 22:20:34 <item4>	너무 짧게 지으려고 하지 않아도 됩니다
7 17 22:20:42 <item4>	변수명 작명의 핵심은
7 17 22:20:48 <item4>	이 변수가 무엇을 하는건지 알 수 있으면서도
7 17 22:20:55 <item4>	너무 길지 않게 하는것입니다
7 17 22:21:35 <item4>	다른 질문 더 있으신가요
7 17 22:21:38 *	[Jstring] (FIRC@*.*.*.*): FIRC
7 17 22:21:38 *	[Jstring] +#item4-study 
7 17 22:21:38 *	[Jstring] ocarina.irc.ozinger.org :Ozinger IRC network on ocarina.ruree.net
7 17 22:21:38 *	[Jstring] idle 01:34:33, signon: Wed Jul 17 19:32:47
7 17 22:21:38 *	[Jstring] End of WHOIS list.
7 17 22:21:45 *	[mathieu] (mathieu@*.*.*.*): realname
7 17 22:21:45 *	[mathieu] +#item4-study 
7 17 22:21:45 *	[mathieu] kanade.irc.ozinger.org :Ozinger IRC network on kanade.devunt.kr
7 17 22:21:45 *	[mathieu] End of WHOIS list.
7 17 22:22:01 <lyn>	음
7 17 22:22:02 <lyn>	감사합니다
7 17 22:22:03 <lyn>	아
7 17 22:22:06 <lyn>	int 할때
7 17 22:22:12 <lyn>	한꺼번에 와르르 할 순 없나요
7 17 22:22:16 <item4>	할 수 있습니다
7 17 22:22:22 <item4>	int a;
7 17 22:22:23 <item4>	int b;
7 17 22:22:25 <item4>	int c;
7 17 22:22:27 <item4>	이렇게 있다면
7 17 22:22:30 <item4>	int a,b,c;
7 17 22:22:33 <item4>	이렇게 해도 됩니다
7 17 22:22:36 <lyn>	!!
7 17 22:23:02 <ellif_w7>	으앙!
7 17 22:23:19 <ellif_w7>	다만 기본 값을 정할 때만 따로 하면 되겠...
7 17 22:23:29 <item4>	기본값 정하는것도 섞을 수 있긴 한데
7 17 22:23:34 <ellif_w7>	설마 int a=30,b=7000,d=50;
7 17 22:23:35 <item4>	볼때 정신없으니
7 17 22:23:37 <ellif_w7>	이런건
7 17 22:23:40 <ellif_w7>	아 되는군요
7 17 22:23:49 <lyn>	음
7 17 22:23:51 <item4>	미관상 나눠서 쓰는걸... 저는 좋아합니다
7 17 22:23:53 <lyn>	그럼 아까 한건 노가다였군요;
7 17 22:23:58 <item4>	이건 개인적 취향의 문제니까
7 17 22:24:01 <lyn>	오래걸리지 않나요?;
7 17 22:24:14 <item4>	아까같은 경우는 복사해서 붙여넣으면 됬으니까요
7 17 22:24:22 <lyn>	호 명령어를 나눠쓰든 한번에 쓰든 속도차이는 없나보네요..
7 17 22:24:27 <lyn>	아하..
7 17 22:24:50 <item4>	이번 과제하실때는 한번 , 로 쭉 늘여뜨려서 써보시는것도 나쁘지 않겠네요
7 17 22:24:52 <ellif_w7>	으음
7 17 22:25:14 <ellif_w7>	으음 왜 제것만 이상한거지 으음
7 17 22:25:26 <item4>	ellif_w7, 끝내고 따로 봐드릴게요
7 17 22:25:31 <ellif_w7>	넵
7 17 22:25:40 <item4>	다른 질문 없으면 오늘 스터디는 여기까지 하겠습니다
7 17 22:25:50 <lyn>	과제 끝!
7 17 22:25:52 <item4>	모두 수고하셨습니다
7 17 22:25:52 <lyn>	감사합니다!
